Title;Category;Subcategory;Local Infr. / Apps ME;Local Infr. / Apps EE;Local Infr. / Apps SE;Local Infr. / Apps KANA;
Exchange Mailbox Administration;Client Software;Exchange Mailbox Administration;S;S;S;S;SSSS
MS-Office (Suite);Client Software;MS-Office (Suite);S;S;S;S;SSSS
MS-Outlook;Client Software;MS-Outlook;S;S;S;S;SSSS
other client software;Client Software;other client software;R;R;R;-;RRR-
Standard Software from Catalogue;Client Software;Standard Software from Catalogue;S;S;S;S;SSSS
Code2/Email Signature;Collaboration Applications;Code2/Email Signature;I;I;I;I;IIII
Exchange Server;Collaboration Applications;Exchange Server;I;I;I;I;IIII
MS-Teams;Collaboration Applications;MS-Teams;I;I;I;I;IIII
O365;Collaboration Applications;O365;I;I;I;I;IIII
Skype/Lync;Collaboration Applications;Skype/Lync;S;S;S;S;SSSS
CAx (Catia/NX/Visi);Engineering Applications;CAx (Catia/NX/Visi);S;S;S;S;SSSS
Licensemanager CAX;Engineering Applications;Licensemanager CAX;-;S;-;S;-S-S
Spinfire (Viewer);Engineering Applications;Spinfire (Viewer);S;S;S;S;SSSS
Workspace Manager;Engineering Applications;Workspace Manager;S;S;S;S;SSSS
CAQ/PMM (Prüfmittelverwaltung);Global Business Applications;CAQ/PMM (Prüfmittelverwaltung);S;S;S;S;SSSS
Mobisys;Global Business Applications;Mobisys;-;-;-;I;---I
myBusiness.AI (Layer Audit);Global Business Applications;myBusiness.AI (Layer Audit);S;S;S;-;SSS-
PiWeb;Global Business Applications;PiWeb;S;S;S;-;SSS-
xFlow (Invoice Management);Global Business Applications;xFlow (Invoice Management);S;-;-;-;S---
ASSP-Spamfilter;IT Security;ASSP-Spamfilter;I;I;I;I;IIII
ISMS - Information Security Management System;IT Security;ISMS - Information Security Management System;C;C;C;C;CCCC
Trend Micro;IT Security;Trend Micro;S;S;S;S;SSSS
I-Doit (IT-Documentation Tool);IT-Service Applications;I-Doit (IT-Documentation Tool);I;I;I;I;IIII
MDM-Mobile Device Management;IT-Service Applications;MDM-Mobile Device Management;S;S;S;S;SSSS
Mobicontrol;IT-Service Applications;Mobicontrol;R;S;S;S;RSSS
Servicedesk Plus (Ticketsystem);IT-Service Applications;Servicedesk Plus (Ticketsystem);I;I;I;I;IIII
